# NGSL headwords — 빈도 구간(band) 순서로 정렬됨
# 출처: Browne, Culligan & Phillips (NGSL, CC BY) / 기계가독 변환본 CC0
# 형식: word,band  (배치 스크립트는 첫 컬럼만 읽는다)
listen,1000
due,1000
wrong,1000
foot,1000
effort,1000
attention,1000
upon,1000
check,1000
complete,1000
lie,1000
pick,1000
reduce,1000
personal,1000
ground,1000
animal,1000
arrive,1000
patient,1000
current,1000
century,1000
evidence,1000
exist,1000
similar,1000
fight,1000
leader,1000
fine,1000
street,1000
former,1000
contact,1000
particularly,1000
wife,1000
sport,1000
prepare,1000
discuss,1000
response,1000
voice,1000
piece,1000
finish,1000
suppose,1000
apply,1000
president,1000
fire,1000
compare,1000
court,1000
police,1000
store,1000
poor,1000
knowledge,1000
laugh,1000
arm,1000
heart,1000
source,1000
employee,1000
manage,1000
simply,1000
bank,1000
firm,1000
cell,1000
article,1000
fast,1000
attack,1000
foreign,1000
surprise,1000
feature,1000
factor,1000
pretty,1000
recently,1000
affect,1000
drop,1000
recent,1000
relate,1000
official,1000
financial,1000
miss,1000
art,1000
campaign,1000
private,1000
pause,1000
everyone,1000
forget,1000
page,1000
worry,1000
summer,1000
drink,1000
opinion,1000
park,1000
represent,1000
key,1000
inside,1000
manager,1000
international,1000
contain,1000
notice,1000
wonder,1000
nature,1000
structure,1000
section,1000
myself,1000
exactly,1000
plant,1000
paint,1000
worker,1000
press,1000
whatever,1000
necessary,1000
region,1000
growth,1000
evening,1000
influence,1000
respect,1000
various,1000
catch,1000
thus,1000
skill,1000
attempt,1000
son,1000
simple,1000
medium,1000
average,1000
stock,1000
management,1000
character,1000
bed,1000
hit,1000
establish,1000
indeed,1000
final,1000
economy,1000
fit,1000
guy,1000
function,1000
yesterday,1000
image,1000
size,1000
behavior,1000
addition,1000
determine,1000
station,1000
population,1000
fail,1000
environment,1000
production,1000
contract,1000
player,1000
comment,1000
enter,1000
occur,1000
alone,1000
significant,1000
drug,1000
wall,1000
series,1000
direct,1000
success,1000
tomorrow,1000
director,1000
clearly,1000
lack,1000
review,1000
depend,1000
race,1000
recognize,1000
window,1000
purpose,1000
department,1000
gain,1000
tree,1000
college,1000
argue,1000
board,1000
holiday,1000
mark,1000
church,1000
machine,1000
achieve,1000
item,1000
prove,1000
cent,1000
season,1000
floor,1000
stuff,1000
wide,1000
anyone,1000
method,1000
analysis,1000
election,1000
military,1000
hotel,1000
club,1000
below,1000
movie,1000
doctor,1000
discussion,1000
sorry,1000
challenge,1000
nation,1000
nearly,1000
statement,1000
link,1000
despite,1000
introduce,1000
advantage,1000
ready,1000
marry,1000
strike,1000
mile,1000
seek,1000
ability,1000
unit,1000
card,1000
hospital,1000
quickly,1000
interview,1000
agreement,1000
release,1000
tax,1000
solution,1000
capital,1000
popular,1000
specific,1000
beautiful,1000
fear,1000
aim,1000
television,1000
serious,1000
target,1000
degree,1000
pull,1000
red,1000
husband,1000
access,1000
movement,1000
treat,1000
identify,1000
loss,1000
shall,1000
modern,1000
pressure,1000
bus,1000
treatment,1000
yourself,1000
supply,1000
village,1000
worth,1000
natural,1000
express,1000
indicate,1000
attend,1000
brother,1000
investment,1000
score,1000
organize,1000
trip,1000
beyond,1000
sleep,1000
fish,1000
promise,1000
potential,1000
energy,1000
trouble,1000
relation,1000
touch,1000
file,1000
middle,1000
bar,1000
suffer,1000
strategy,1000
deep,1000
except,1000
clean,1000
tend,1000
advance,1000
fill,1000
star,1000
network,1000
generally,1000
operation,1000
match,1000
avoid,1000
seat,1000
throw,1000
task,1000
normal,1000
goal,1000
associate,1000
blue,1000
positive,1000
option,1000
box,1000
huge,1000
message,1000
instance,1000
style,1000
refer,1000
cold,1000
push,1000
quarter,1000
assume,1000
baby,1000
successful,1000
sing,1000
doubt,1000
competition,1000
theory,1000
propose,1000
reference,1000
argument,1000
adult,1000
fly,1000
document,1000
pattern,1000
application,1000
hot,1000
obviously,1000
unclear,1000
bill,1000
search,1000
separate,1000
central,1000
career,1000
anyway,1000
speech,1000
dog,1000
officer,1000
throughout,1000
oil,1000
dress,1000
profit,1000
guess,1000
fun,1000
protect,1000
resource,1000
science,1000
disease,1000
balance,1000
damage,1000
basis,1000
author,1000
basic,1000
encourage,1000
hair,1000
male,1000
operate,1000
reflect,1000
exercise,1000
useful,1000
restaurant,1000
income,1000
property,1000
previous,1000
dark,1000
imagine,1000
okay,1000
earn,1000
daughter,1000
post,1000
newspaper,1000
define,1000
conclusion,1000
clock,1000
everybody,1000
weekend,1000
perform,1000
professional,1000
mine,1000
debate,1000
memory,1000
green,1000
song,1000
object,1000
maintain,1000
credit,1000
ring,1000
discover,1000
dead,1000
afternoon,1000
prefer,1000
extend,1000
possibility,1000
direction,1000
facility,1000
variety,1000
daily,1000
clothes,1000
screen,1000
track,1000
dance,1000
completely,1000
female,1000
responsibility,1000
original,1000
sister,1000
rock,1000
dream,1000
nor,1000
university,1000
easily,1000
agency,1000
dollar,1000
garden,1000
fix,1000
ahead,1000
cross,1000
yeah,1000
weight,1000
legal,1000
proposal,1000
version,1000
conversation,1000
somebody,1000
pound,1000
magazine,1000
shape,1000
sea,1000
immediately,1000
welcome,1000
smile,1000
communication,1000
agent,1000
traditional,1000
replace,1000
judge,1000
herself,1000
suddenly,1000
generation,1000
estimate,1000
favorite,1000
difficulty,1000
purchase,1000
the,1000
announce,2000
unless,2000
independent,2000
recommend,2000
survey,2000
majority,2000
stick,2000
request,2000
rich,2000
wind,2000
none,2000
exchange,2000
budget,2000
famous,2000
blood,2000
appropriate,2000
block,2000
warm,2000
count,2000
scene,2000
writer,2000
content,2000
prevent,2000
safe,2000
invite,2000
mix,2000
element,2000
effective,2000
correct,2000
medical,2000
admit,2000
beat,2000
telephone,2000
copy,2000
committee,2000
aware,2000
advice,2000
handle,2000
glass,2000
trial,2000
stress,2000
radio,2000
administration,2000
complex,2000
text,2000
context,2000
ride,2000
directly,2000
heavy,2000
remove,2000
conduct,2000
equipment,2000
otherwise,2000
title,2000
extra,2000
executive,2000
chair,2000
expensive,2000
sample,2000
sex,2000
deliver,2000
video,2000
connection,2000
primary,2000
weather,2000
collect,2000
inform,2000
principle,2000
straight,2000
appeal,2000
highly,2000
trust,2000
wonderful,2000
flat,2000
absolutely,2000
flow,2000
fair,2000
additional,2000
responsible,2000
farm,2000
collection,2000
hang,2000
negative,2000
band,2000
relative,2000
tour,2000
alternative,2000
software,2000
pair,2000
ship,2000
attitude,2000
cheap,2000
double,2000
leg,2000
observe,2000
sentence,2000
print,2000
progress,2000
truth,2000
nobody,2000
examine,2000
lay,2000
speed,2000
politics,2000
reply,2000
display,2000
transfer,2000
perfect,2000
slightly,2000
overall,2000
intend,2000
user,2000
respond,2000
dinner,2000
slow,2000
regular,2000
physical,2000
apart,2000
suit,2000
federal,2000
reveal,2000
percentage,2000
peace,2000
status,2000
crime,2000
decline,2000
decade,2000
launch,2000
warn,2000
consumer,2000
favor,2000
dry,2000
partner,2000
institution,2000
spot,2000
horse,2000
eventually,2000
heat,2000
excite,2000
reader,2000
importance,2000
distance,2000
guide,2000
grant,2000
taxi,2000
feed,2000
pain,2000
sector,2000
mistake,2000
ensure,2000
satisfy,2000
chief,2000
cool,2000
expert,2000
wave,2000
south,2000
labor,2000
surface,2000
library,2000
excellent,2000
edge,2000
camp,2000
audience,2000
lift,2000
procedure,2000
email,2000
global,2000
struggle,2000
advertise,2000
select,2000
surround,2000
extent,2000
river,2000
annual,2000
fully,2000
contrast,2000
roll,2000
reality,2000
photograph,2000
artist,2000
conflict,2000
entire,2000
presence,2000
crowd,2000
corner,2000
gas,2000
shift,2000
net,2000
category,2000
secretary,2000
defense,2000
quick,2000
cook,2000
spread,2000
nuclear,2000
scale,2000
driver,2000
ball,2000
cry,2000
introduction,2000
requirement,2000
north,2000
confirm,2000
senior,2000
photo,2000
refuse,2000
transport,2000
emerge,2000
map,2000
concept,2000
island,2000
reform,2000
neither,2000
football,2000
survive,2000
flight,2000
left,2000
solve,2000
neighbor,2000
background,2000
technique,2000
traffic,2000
improvement,2000
tool,2000
consequence,2000
circumstance,2000
smoke,2000
reaction,2000
rain,2000
busy,2000
lesson,2000
brain,2000
mass,2000
funny,2000
contribute,2000
failure,2000
schedule,2000
speaker,2000
bottom,2000
adopt,2000
combine,2000
mountain,2000
waste,2000
hide,2000
marriage,2000
ticket,2000
meal,2000
colleague,2000
bag,2000
repeat,2000
equal,2000
expression,2000
plus,2000
extremely,2000
owner,2000
plane,2000
commercial,2000
lady,2000
duty,2000
strength,2000
connect,2000
cultural,2000
arrange,2000
scheme,2000
payment,2000
unfortunately,2000
brief,2000
bird,2000
demonstrate,2000
contribution,2000
appreciate,2000
chapter,2000
secret,2000
apparently,2000
novel,2000
union,2000
burn,2000
trend,2000
initial,2000
pleasure,2000
suggestion,2000
critical,2000
gather,2000
mostly,2000
earth,2000
pop,2000
essential,2000
desire,2000
promote,2000
currently,2000
employ,2000
path,2000
topic,2000
beach,2000
attract,2000
engage,2000
powerful,2000
flower,2000
crisis,2000
settle,2000
boat,2000
aid,2000
fan,2000
kitchen,2000
twice,2000
fresh,2000
delay,2000
safety,2000
engineer,2000
quiet,2000
insurance,2000
nurse,2000
divide,2000
length,2000
investigation,2000
package,2000
somewhere,2000
expand,2000
commit,2000
obvious,2000
jump,2000
weapon,2000
relatively,2000
host,2000
winter,2000
district,2000
broad,2000
tire,2000
spring,2000
spirit,2000
lunch,2000
actual,2000
pool,2000
battle,2000
tradition,2000
cash,2000
hardly,2000
award,2000
coach,2000
experiment,2000
consideration,2000
strange,2000
code,2000
possibly,2000
threat,2000
accident,2000
