# BSL (Business Service List) headwords — 빈도 순위(rank) 순서
# 출처: Browne, C., Culligan, B. (2016). The Business Service List.
#       Retrieved from www.newgeneralservicelist.com  (CC BY-SA 4.0)
# 형식: word,rank  (배치 스크립트는 첫 컬럼만 읽는다)
#
# 1,700개로 일반 비즈니스 영어의 97% 를 덮는다. 토익이 비즈니스 영어 시험이라
# TSL 과 함께 쓴다. NAWL(학술 960)은 논문·강의 영어라 토익과 다른 물건이어서 뺐다.
#
# **원본은 cp1252 다.** UTF-8 로 읽으면 악센트 글자가 깨진다.
#
# 트랙은 TSL 과 같다 — 토익 화면은 둘을 한 목록으로 보여 준다.
# track: toeic
#
# 순위는 TSL 1,250 뒤에서 시작한다. 두 목록 다 1위부터 매겨진 **다른 코퍼스의**
# 순위라 그냥 합치면 토익 트랙에 1위가 둘 생기고 정렬이 뒤엉킨다. 이어 붙인 뒤의
# 번호는 "BSL 이 TSL 보다 덜 쓰인다"는 뜻이 아니라 **화면에 낼 순서**다 — 토익
# 화면에서는 시험 어휘(TSL)가 먼저 나오는 것이 맞다.
# rank-offset: 1250
distributor,380
merit,381
periodic,382
barrel,383
accelerate,384
transmit,385
efficiently,386
designate,387
consistently,388
mandate,389
merchant,390
developer,391
delegate,392
supermarket,393
donor,394
gamble,395
norm,396
informal,397
deduction,398
tighten,399
amend,400
squeeze,401
expiration,402
appraisal,403
optimistic,404
reliability,405
ultimate,406
neutral,407
axis,408
upgrade,409
traditionally,410
exit,411
fare,412
scrap,413
petrol,414
uncertain,415
identification,416
pipeline,417
manual,418
suicide,419
terror,420
quota,421
workplace,422
mislead,423
trustee,424
attorney,425
domain,426
frontier,427
seize,428
beneficiary,429
comparative,430
capitalism,431
strictly,432
readily,433
fraction,434
ambitious,435
wireless,436
solely,437
capitalization,438
signature,439
pioneer,440
diplomat,441
oversee,442
endorse,443
cheque,444
landlord,445
trademark,446
intent,447
auto,448
lessor,449
assurance,450
yen,451
affiliate,452
statutory,453
consent,454
excessive,455
assemble,456
renew,457
exporter,458
cumulative,459
prosecutor,460
absorb,461
projection,462
slump,463
lag,464
volatile,465
enforcement,466
sack,467
enthusiasm,468
bulk,469
initiate,470
calculator,471
obstacle,472
render,473
coup,474
bundle,475
unexpected,476
departure,477
issuance,478
capitalist,479
capitalize,480
contractual,481
differential,482
amortization,483
unfair,484
terminate,485
advisor,486
inter,487
induce,488
elite,489
