# TSL (TOEIC Service List) headwords — 빈도 순위(rank) 순서로 정렬됨
# 출처: Browne, C., Culligan, B. (2013). The TOEIC Service List.
#       Retrieved from www.newgeneralservicelist.com  (CC BY-SA 4.0)
# 형식: word,rank  (배치 스크립트는 첫 컬럼만 읽는다 — ngsl.csv 와 같은 모양)
#
# NGSL 2,800 과 합치면 토익 시험 어휘의 98.5% 를 덮는다. NGSL 과 같은 팀·같은
# 라이선스라 저작권 문제가 없다 — Oxford 3000·Cambridge EVP 는 못 쓰고 시판 교재
# 재배포(Anki 덱)는 CLAUDE.md §9 위반이라, 쓸 수 있는 목록으로는 사실상 유일하다.
#
# **원본은 cp1252 다.** UTF-8 로 읽으면 résumé 가 깨진다. 여기 저장한 것은 UTF-8 이다.
#
# 배치가 받지 못하는 표제어가 4개 있다 — `ice cream`(띄어쓰기), `résumé`·`café`·
# `entrée`(악센트). 이 프로젝트의 표제어는 한 낱말이고 빈칸 채점이 낱말 단위라
# 그대로 둔다. 조용히 사라지지는 않는다: load_wordlist 가 건너뛴 것을 말해 준다.
#
# 아래 한 줄이 이 목록의 트랙이다. 트랙은 행을 만들 때 정해지고 나중에 바뀌지 않으므로
# (crud.upsert_word), 실행할 때 고르는 플래그가 아니라 목록 자체에 적어 둔다.
# 이걸 지우면 TOEIC 어휘가 왕초보 트랙으로 쏟아진다.
# track: toeic
scholarship,427
seeker,428
temporarily,429
towel,430
unattended,431
accessible,432
afterward,433
apology,434
assemble,435
automatic,436
boardroom,437
carpenter,438
caterer,439
classify,440
consultation,441
durable,442
glove,443
hardware,444
malfunction,445
outdated,446
patience,447
postcard,448
prospective,449
revision,450
strictly,451
tomato,452
tray,453
vendor,454
withdrawal,455
anytime,456
badge,457
brake,458
calculation,459
coordinator,460
costly,461
equip,462
excursion,463
graphic,464
inexperience,465
lengthy,466
librarian,467
meantime,468
merge,469
performer,470
pharmacist,471
pizza,472
resignation,473
reviewer,474
terminate,475
translation,476
unfamiliar,477
actress,478
adjacent,479
alternate,480
congratulate,481
escort,482
inexpensive,483
mask,484
purchaser,485
purse,486
realtor,487
rearrange,488
reopen,489
soap,490
spokesperson,491
superior,492
airfare,493
bake,494
businessperson,495
considerably,496
faulty,497
hobby,498
informal,499
kilometer,500
lawn,501
microscope,502
mislead,503
misplace,504
newsstand,505
overhead,506
portfolio,507
rack,508
remodel,509
statistics,510
tunnel,511
unlimited,512
vitamin,513
zoo,514
alert,515
auditorium,516
celebrity,517
deduct,518
disruption,519
electrician,520
enthusiastic,521
graduation,522
icy,523
irregular,524
login,525
managerial,526
mineral,527
motorcycle,528
necessity,529
planner,530
programmer,531
proofread,532
recruiter,533
remainder,534
statue,535
steadily,536
stockholder,537
vacant,538
accessory,539
assembly,540
basket,541
certification,542
closure,543
dislike,544
downstairs,545
expiration,546
headache,547
jam,548
nail,549
optimistic,550
pedestrian,551
projection,552
sleeve,553
suburb,554
takeover,555
unsure,556
upstairs,557
verbal,558
visa,559
wildlife,560
workforce,561
absent,562
accumulate,563
appraisal,564
apprentice,565
businessman,566
ceiling,567
colorful,568
compensate,569
costume,570
editorial,571
effectiveness,572
facilitate,573
firefighter,574
gasoline,575
inappropriate,576
internet,577
landlord,578
layout,579
lunchtime,580
payroll,581
pharmaceutical,582
plausible,583
premium,584
safely,585
simplify,586
specialty,587
tech,588
unexpected,589
unspecified,590
adhere,591
bankrupt,592
caution,593
clip,594
comply,595
diner,596
duplicate,597
eager,598
economist,599
embassy,600
fasten,601
harmful,602
informative,603
institute,604
kit,605
locally,606
mentor,607
nominate,608
opt,609
parade,610
physician,611
polish,612
postage,613
recreational,614
rehearse,615
removal,616
satisfactory,617
seasonal,618
separately,619
turnover,620
unnecessary,621
accordingly,622
apple,623
applicable,624
auction,625
balcony,626
basement,627
beforehand,628
culinary,629
documentary,630
downturn,631
earthquake,632
elegant,633
excessive,634
generic,635
jazz,636
lifetime,637
massage,638
maximize,639
mild,640
ongoing,641
periodically,642
pie,643
plug,644
recruitment,645
referee,646
referral,647
renown,648
runner,649
sock,650
spam,651
surf,652
timetable,653
vase,654
aboard,655
advancement,656
advertiser,657
alternatively,658
amuse,659
attorney,660
authorization,661
campus,662
candy,663
certify,664
checkout,665
chemistry,666
circulation,667
concierge,668
consent,669
consistently,670
cookie,671
deck,672
